Name_original,Name,CAS,Norman_SusDat_ID,Norman_matched,Norman_matched_Synonym_Reliability,CAS_RN,DTXSID,Molecular_Formula
(1E)-5-methyl-1-phenylhex-1-en-3-one,(1E)-5-methyl-1-phenylhex-1-en-3-one,NA,NA,NA,NA,NA,NA,NA
(1E)-N-hydroxy-1-(naphthalen-1-yl)ethanimine,(1E)-N-hydroxy-1-(naphthalen-1-yl)ethanimine,NA,NA,NA,NA,NA,NA,NA
"(1E,2E,1'E,2'E)-N,N'-(Hexane-1,6-diyl)bis(3-phenylprop-2-en-1-imine)","(1E,2E,1'E,2'E)-N,N'-(Hexane-1,6-diyl)bis(3-phenylprop-2-en-1-imine)",NA,NA,NA,NA,NA,NA,NA
"(1E,2E,1'E,2'E)-N,N'-(Propane-1,3-diyl)bis(3-phenylprop-2-en-1-imine)","(1E,2E,1'E,2'E)-N,N'-(Propane-1,3-diyl)bis(3-phenylprop-2-en-1-imine)",NA,NA,NA,NA,NA,NA,NA
"(1E,3E,6E,8E)-1,9-Diphenylnona-1,3,6,8-tetraen-5-one","(1E,3E,6E,8E)-1,9-Diphenylnona-1,3,6,8-tetraen-5-one",NA,NA,NA,NA,NA,NA,NA
"(1E,4E)-1,5-Diphenylpenta-1,4-dien-3-one","(1E,4E)-1,5-Diphenylpenta-1,4-dien-3-one",NA,NA,NA,NA,NA,NA,NA
"(1H-Indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone","(1H-Indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone",895152-66-6,NS00018398,Name,NA,CAS_RN: 895152-66-6,DTXSID10647203,C16H19N1O1
HFE-347pcf2,"(1H,1H-Perfluoroethyl)(2H-perfluoroethyl)ether",406-78-0,NS00019058,Name,NA,CAS_RN: 406-78-0,DTXSID8074786,C4H3F7O1
"(1R-(1a(R*),2b,4ab,8aa))-2-Hydroxy-a,2,5,5,8a-pentamethyl-a-","(1R-(1a(R*),2b,4ab,8aa))-2-Hydroxy-a,2,5,5,8a-pentamethyl-a-",NA,NA,NA,NA,NA,NA,NA
"(1R-(1a,2a,5b,8b))-4,4,8-Trimethyltricyclo[6.3.1. 02,5]dodecanyl Acetate.","(1R-(1a,2a,5b,8b))-4,4,8-Trimethyltricyclo[6.3.1. 02,5]dodecanyl Acetate",NA,NA,NA,NA,NA,NA,NA
"(1R-(1a,2b,5a))-5-Methyl-2-(1-methylethyl)cyclohexyl Phenylacetate.","(1R-(1a,2b,5a))-5-Methyl-2-(1-methylethyl)cyclohexyl Phenylacetate",NA,NA,NA,NA,NA,NA,NA
"(1R-(1a,4ab,4ba,10aa))-1,2,3,4,4a,4b,5,6,10,10a-Decahydro-7-isopropyl-1,4adimethylphenanthren-","(1R-(1a,4ab,4ba,10aa))-1,2,3,4,4a,4b,5,6,10,10a-Decahydro-7-isopropyl-1,4adimethylphenanthren-",NA,NA,NA,NA,NA,NA,NA
"(1R-(1a,4b,4aa,6b,8aa))-Octahydro-4,8a,9,9-tetramethyl-1,6-methano-1(2H)-","(1R-(1a,4b,4aa,6b,8aa))-Octahydro-4,8a,9,9-tetramethyl-1,6-methano-1(2H)-",NA,NA,NA,NA,NA,NA,NA
"(1R-(1alpha,2beta,5alpha))-5-Methyl-2-(1-methylethyl)cyclohexyl (2-methoxyphenoxy)acetate","(1R-(1alpha,2beta,5alpha))-5-Methyl-2-(1-methylethyl)cyclohexyl (2-methoxyphenoxy)acetate",85702-60-9,NS00039041,Name,NA,CAS_RN: 85702-60-9,DTXSID30234992,C19H28O4
"(1R-(1alpha,2beta,5alpha))-6,6-Dimethylbicyclo(3.1.1)heptan-2-acetic acid","(1R-(1alpha,2beta,5alpha))-6,6-Dimethylbicyclo(3.1.1)heptan-2-acetic acid",54631-12-8,NS00033151,Name,NA,CAS_RN: 54631-12-8,DTXSID70203066,C11H18O2
"(1R-(1R*,4R*,6R*,10S*))-4,12,12-Trimethyl-9-methylene-5-","(1R-(1R*,4R*,6R*,10S*))-4,12,12-Trimethyl-9-methylene-5-",1139-30-6,NS00012081,Name,NA,CAS_RN:  1139-30-6,NA,C15H24O1
"(1R)-2-(benzylamino)-1-[(2S)-6-fluoro-3,4-dihydro-2H-chromen-2-yl]ethanol","(1R)-2-(benzylamino)-1-[(2S)-6-fluoro-3,4-dihydro-2H-chromen-2-yl]ethanol",1030385-16-0,NS00003916,Name,NA,CAS_RN: 1030385-16-0,NA,C18H20F1N1O2
(1R)-2-chloro-1-[(2S)-6-fluorochroman-2-yl]ethanol,(1R)-2-chloro-1-[(2S)-6-fluorochroman-2-yl]ethanol,1315508-93-0,NS00006313,Name,NA,CAS_RN: 1315508-93-0,NA,C11H12Cl1F1O2
"(1R)-6,6-dimethylbicyclo[3.1.1]hept-2-en-2-ethanol","(1R)-6,6-dimethylbicyclo[3.1.1]hept-2-en-2-ethanol",35836-73-8,NS00001988,Name,NA,CAS_RN: 35836-73-8,NA,C11H18O1
"(1R, 2S, 5R)-5-Methyl-2-(1-methylethenyl)-cyclohexanol Formate.","(1R, 2S, 5R)-5-Methyl-2-(1-methylethenyl)-cyclohexanol Formate",NA,NA,NA,NA,NA,NA,NA
"(1R, 2S, 5R)-5-Methyl-2-(1-methylethyl)-cyclohexyl Methanoate.","(1R, 2S, 5R)-5-Methyl-2-(1-methylethyl)-cyclohexyl Methanoate",NA,NA,NA,NA,NA,NA,NA
"(1R,2R,4aS,8aS)-1-[(3E)-6-[(1S)-2,2-Dimethyl-6-methylenecyclohexyl]-4-methyl-3-","(1R,2R,4aS,8aS)-1-[(3E)-6-[(1S)-2,2-Dimethyl-6-methylenecyclohexyl]-4-methyl-3-",NA,NA,NA,NA,NA,NA,NA
"(1R,2R,4S)-1,3,3-trimethylbicyclo[2.2.1]heptan-2-yl acetate","(1R,2R,4S)-1,3,3-trimethylbicyclo[2.2.1]heptan-2-yl acetate",NA,NA,NA,NA,NA,NA,NA
"(1R,2S,5R)-2-Isopropyl-5-methylcyclohexyl (2R,5R)-5-hydroxy-1,3-oxathiolane-2-carboxylate","(1R,2S,5R)-2-Isopropyl-5-methylcyclohexyl (2R,5R)-5-hydroxy-1,3-oxathiolane-2-carboxylate",147126-62-3,NS00007821,Name,NA,CAS_RN: 147126-62-3,NA,C14H24O4S1
"(1R,2S,5R)-5-methyl-2-(propan-2-yl)-N-[2-(pyridin-2-yl)ethyl]cyclohexanecarboxamide","(1R,2S,5R)-5-methyl-2-(propan-2-yl)-N-[2-(pyridin-2-yl)ethyl]cyclohexanecarboxamide",847565-09-7,NS00077558,Name,NA,CAS_RN: 847565-09-7,NA,NA
"(1R,2S,5R)-5-methyl-2-(propan-2-yl)cyclohexyl (ethylamino)(oxo)acetate","(1R,2S,5R)-5-methyl-2-(propan-2-yl)cyclohexyl (ethylamino)(oxo)acetate",1122460-01-8,NS00005645,Name,NA,CAS_RN: 1122460-01-8,NA,C14H25N1O3
"(1R,2S,5R)-5-methyl-2-(propan-2-yl)cyclohexyl 5-(4-amino-5-fluoro-2-oxopyrimidin-1(2H)-yl)-1,3-oxathiolane-2-carboxylate","(1R,2S,5R)-5-Methyl-2-(propan-2-yl)cyclohexyl 5-(4-amino-5-fluoro-2-oxopyrimidin-1(2H)-yl)-1,3-oxathiolane-2-carboxylate",764659-79-2,NS00005458,Name,NA,CAS_RN: 764659-79-2,DTXSID10737254,C18H26F1N3O4S1
"(1R,3S,4aR)-2,2-Dimethyl-2,3,4,4a,5,6-hexahydro-1,3-methanonaphthalen-7(1H)-one","(1R,3S,4aR)-2,2-Dimethyl-2,3,4,4a,5,6-hexahydro-1,3-methanonaphthalen-7(1H)-one",68433-81-8,NS00022685,Name,NA,CAS_RN: 68433-81-8,DTXSID6052409,C13H18O1
"(1R,3S,4S)-2-(tert-butoxycarbonyl)-2-azabicyclo[2.2.1]heptane-3-carboxylic acid","(1R,3S,4S)-2-(tert-butoxycarbonyl)-2-azabicyclo[2.2.1]heptane-3-carboxylic acid",291775-59-2,NS00002228,Name,NA,CAS_RN: 291775-59-2,NA,C12H19N1O4
"(1R,5S)-2-(6,6-dimethylbicyclo[3.1.1]hept-2-en-2-yl) ethyl acetate","(1R,5S)-2-(6,6-dimethylbicyclo[3.1.1]hept-2-en-2-yl) ethyl acetate",35836-72-7,NS00107045,Name,NA,CAS_RN: 35836-72-7,NA,C13H20O2
"(1R,5S,6S)-2-[(3S,5S)-5-5(dimethylaminocarbonyl)pyrrolidin-3-ylthio]-6-[(R)-1-hydroxyethyl]-1-methylcarbapen-2-em-3-carboxylic acid","(1R,5S,6S)-2-[(3S,5S)-5-5(dimethylaminocarbonyl)pyrrolidin-3-ylthio]-6-[(R)-1-hydroxyethyl]-1-methylcarbapen-2-em-3-carboxylic acid",NA,NA,NA,NA,NA,NA,NA
"(1R,6S)-Allyl 2,2,6-trimethylcyclohexanecarboxylate","(1R,6S)-Allyl 2,2,6-trimethylcyclohexanecarboxylate",1648784-10-4,NS00004818,Name,NA,CAS_RN: 1648784-10-4,NA,C13H22O2
"(1R,9R,10S,12S,13S,14R,16S)-15-[3-(diethylamino)-2-hydroxypropyl]-13-ethyl-14,18-dihydroxy-8-methyl-8,15-diazahexacyclo-nonadeca-2,4,6-trien-15-ium","(1R,9R,10S,12S,13S,14R,16S)-15-[3-(diethylamino)-2-hydroxypropyl]-13-ethyl-14,18-dihydroxy-8-methyl-8,15-diazahexacyclo-nonadeca-2,4,6-trien-15-ium",NA,NA,NA,NA,NA,NA,NA
"(1S-(1a,2a(Z),4a))-2-Methyl-5-(2-methyl-3-methylenebicyclo[2.2.1]hept-2-yl)-2-","(1S-(1a,2a(Z),4a))-2-Methyl-5-(2-methyl-3-methylenebicyclo[2.2.1]hept-2-yl)-2-",NA,NA,NA,NA,NA,NA,NA
"(1S-(1alpha(E),5beta))-1-(5-Isopropyl-2-methyl-2-cyclohexen-1-yl)-2-buten-1-one","(1S-(1alpha(E),5beta))-1-(5-Isopropyl-2-methyl-2-cyclohexen-1-yl)-2-buten-1-one",39899-98-4,NS00030682,Name,NA,CAS_RN: 39899-98-4,DTXSID20192936,C14H22O1
"(1S-(1alpha,2beta,5alpha))-((5-Methyl-2-(1-methylethyl)cyclohexyl)oxy)acetic acid","(1S-(1alpha,2beta,5alpha))-((5-Methyl-2-(1-methylethyl)cyclohexyl)oxy)acetic acid",94133-41-2,NS00040093,Name,NA,CAS_RN: 94133-41-2,DTXSID60240667,C12H22O3
"(1S-(1alpha,3alpha,4beta,6alpha))-3,7,7-Trimethylbicyclo(4.1.0)heptane-3,4-diol","(1S-(1alpha,3alpha,4beta,6alpha))-3,7,7-Trimethylbicyclo(4.1.0)heptane-3,4-diol",10395-46-7,NS00023269,Name,NA,CAS_RN: 10395-46-7,DTXSID80146157,C10H18O2
(1S-endo)-Bornyl butyrate,(1S-endo)-Bornyl butyrate,85551-27-5,NS00038973,Name,NA,CAS_RN: 85551-27-5,DTXSID10234738,C14H24O2
(1S)-2-chloro-1-methyl-2-oxoethyl acetate,(1S)-2-chloro-1-methyl-2-oxoethyl acetate,36394-75-9,NS00008390,Name,NA,CAS_RN: 36394-75-9,NA,C5H7Cl1O3
"(1S)-2,3,4,6-tetra-O-acetyl-1,5-anhydro-1-[4-chloro-3-(4-ethoxybenzyl)phenyl]-D-glucitol","(1S)-2,3,4,6-tetra-O-acetyl-1,5-anhydro-1-[4-chloro-3-(4-ethoxybenzyl)phenyl]-D-glucitol",461432-25-7,NS00105336,Name,NA,CAS_RN: 461432-25-7,NA,C29H33ClO10
"(1S,2S,4R)-(-)-a,a-Dimethyl-1-vinyl-o-menth-8-ene-4-methanol.","(1S,2S,4R)-(-)-a,a-Dimethyl-1-vinyl-o-menth-8-ene-4-methanol",NA,NA,NA,NA,NA,NA,NA
"(1S,3'R,4'S,5'S,6'R)-6-[(4-ethylphenyl)methyl]-3',4',5',6'-tetrahydro-6'-(hydroxymethyl)-Spiro[isobenzofuran-1(3H), 2'-[2H]pyran]-3',4',5'-triol","(1S,3'R,4'S,5'S,6'R)-6-[(4-ethylphenyl)methyl]-3',4',5',6'-tetrahydro-6'-(hydroxymethyl)-Spiro[isobenzofuran-1(3H), 2'-[2H]pyran]-3',4',5'-triol",NA,NA,NA,NA,NA,NA,NA
3'-Hydroxystanozolol,"(1S,3aS,3bR,5aS,10aS,10bS,12aS)-1-Hydroxy-1,10a,12a-trimethyl-2,3,3a,3b,4,5,5a,6,7,8,10,10a,10b,11,12,12a-hexadecahydrocyclopenta[5,6]naphtho[1,2-f]indazol-9(1H)-one",125709-39-9,NS00015162,Synonyms_ChemSpider,0,CAS_RN: 125709-39-9,DTXSID50558682,C21H32N2O2
"(1S,3R)-3-((Z)-2-Chloro-3,3,3-trifluoroprop-1-enyl)-2,2-dimethylcyclopropanecarbonyl chloride","(1S,3R)-3-((Z)-2-Chloro-3,3,3-trifluoroprop-1-enyl)-2,2-dimethylcyclopropanecarbonyl chloride",NA,NA,NA,NA,NA,NA,NA
"(1S,4R,6R)-1-[(3E)-5-Hydroxy-3-methylpent-3-en-1-yn-1-yl]-2,2,6-trimethylcyclohexane-1,4-diole","(1S,4R,6R)-1-[(3E)-5-Hydroxy-3-methylpent-3-en-1-yn-1-yl]-2,2,6-trimethylcyclohexane-1,4-diole",70905-68-9,NS00001720,Name,NA,CAS_RN: 70905-68-9,NA,C15H24O3
"(1S,4R,8S,9S,11S,12S,19S)-19-fluoro-11-hydroxy-8-(2-hydroxyacetyl)-6,6,9,13-tetramethyl-5,7-dioxapentacyclo-icosa-14,17-dien-16-one","(1S,4R,8S,9S,11S,12S,19S)-19-fluoro-11-hydroxy-8-(2-hydroxyacetyl)-6,6,9,13-tetramethyl-5,7-dioxapentacyclo-icosa-14,17-dien-16-one",NA,NA,NA,NA,NA,NA,NA
Oleoyl ethylamide,(1Z)-N-Ethyloctadec-9-enimidate,85075-82-7,NS00016768,Synonyms_ChemSpider,0,CAS_RN: 85075-82-7,DTXSID50703034,C20H39N1O1
(2-((2-(Ethylthio)ethyl)thio)ethyl)urea,(2-((2-(Ethylthio)ethyl)thio)ethyl)urea,94248-91-6,NS00040346,Name,NA,CAS_RN: 94248-91-6,DTXSID30241303,C7H16N2O1S2
(2-((3-Methyl-2-butenyl)oxy)ethyl)benzene.,(2-((3-Methyl-2-butenyl)oxy)ethyl)benzene,NA,NA,NA,NA,NA,NA,NA
"(2-(1,3-dioxolan-2-yl)ethyl)triphenylphosphonium","(2-(1,3-dioxolan-2-yl)ethyl)triphenylphosphonium",,NS00005808,Name,NA,CAS_RN: NA,NA,C23H24O2P1
(2-(Aminomethyl)phenyl)acetic acid,(2-(Aminomethyl)phenyl)acetic acid,40851-65-8,NS00030859,Name,NA,CAS_RN: 40851-65-8,DTXSID20193827,C9H11N1O2
(2-(Azidomethyl)phenyl)acetic acid,(2-(Azidomethyl)phenyl)acetic acid,40851-64-7,NS00030858,Name,NA,CAS_RN: 40851-64-7,DTXSID60193826,C9H9N3O2
(2-(Bis(2-hydroxyethyl)amino)ethyl) hydrogen phthalate,(2-(Bis(2-hydroxyethyl)amino)ethyl) hydrogen phthalate,84473-57-4,NS00038516,Name,NA,CAS_RN: 84473-57-4,DTXSID70233444,C14H19N1O6
(2-(Pentyloxy)ethyl)benzene,(2-(Pentyloxy)ethyl)benzene,93804-60-5,NS00039637,Name,NA,CAS_RN: 93804-60-5,DTXSID40239690,C13H20O1
(2-(Stearoylamino)ethoxy)acetic acid,(2-(Stearoylamino)ethoxy)acetic acid,94107-69-4,NS00040040,Name,NA,CAS_RN: 94107-69-4,DTXSID40240544,C22H43N1O4
"(2-Amino-4,5-dimethyl-3-thienyl)(2-thienyl)methanone","(2-Amino-4,5-dimethyl-3-thienyl)(2-thienyl)methanone",NA,NS00017149,Name,NA,NA,NA,C11H11N1O1S2
(2-Aminophenyl)acetonitrile,(2-Aminophenyl)acetonitrile,2973-50-4,NS00028763,Name,NA,CAS_RN: 2973-50-4,DTXSID60183888,C8H8N2
(2-Benzoylphenyl)(phenyl)methanone,(2-Benzoylphenyl)(phenyl)methanone,NA,NA,NA,NA,NA,NA,NA
(2-Butyl-5-nitro-1-benzofuran-3-yl)(4-hydroxyphenyl)methanone,(2-Butyl-5-nitro-1-benzofuran-3-yl)(4-hydroxyphenyl)methanone,141645-16-1,NS00019590,Name,NA,CAS_RN: 141645-16-1,DTXSID50467068,C19H17N1O5
(2-Butylbenzofuran-3-yl) (4-methoxyphenyl) ketone,(2-Butylbenzofuran-3-yl) (4-methoxyphenyl) ketone,83790-87-8,NS00038295,Name,NA,CAS_RN: 83790-87-8,DTXSID00232647,C20H20O3
1-chloropropan-2-yl bis(2-chloropropyl) phosphate,(2-Chloro-1-methylethyl) bis(2-chloropropyl) phosphate,076649-15-5,NS00010621,Name_IUPAC,NA,CAS_RN: 076649-15-5,DTXSID70274251,C9H18Cl3O4P1
(2-Chloro-6-methylphenoxy)acetic acid,(2-Chloro-6-methylphenoxy)acetic acid,19094-75-8,NS00020761,Name,NA,CAS_RN: 19094-75-8,DTXSID1041186,C9H9Cl1O3
(2-Chloroethoxy)benzene,(2-Chloroethoxy)benzene,622-86-6,NS00034993,Name,NA,CAS_RN: 622-86-6,DTXSID6060761,C8H9Cl1O1
(2-Chlorophenyl) (1-hydroxycyclopentyl) ketone,(2-Chlorophenyl) (1-hydroxycyclopentyl) ketone,90717-17-2,NS00039374,Name,NA,CAS_RN: 90717-17-2,DTXSID80238243,C12H13Cl1O2
"(2-Chlorophenyl){2-[(4-methoxyphenyl)imino]-4-methyl-2,3-dihydro-1,3-thiazol-3-yl}methanone","(2-Chlorophenyl){2-[(4-methoxyphenyl)imino]-4-methyl-2,3-dihydro-1,3-thiazol-3-yl}methanone",NA,NS00018566,Name,NA,NA,NA,C18H15Cl1N2O2S1
(2-Cyanophenyl)acetic acid,(2-Cyanophenyl)acetic acid,18698-99-2,NS00026112,Name,NA,CAS_RN: 18698-99-2,DTXSID30171959,C9H7N1O2
(2-ethoxy-1-methyl-2-oxoethyl)triphenylphosphonium,(2-ethoxy-1-methyl-2-oxoethyl)triphenylphosphonium,30018-16-7,NS00008556,Name,NA,CAS_RN: 30018-16-7,NA,C23H24O2P1
"[2-ethyl-2-[[2-[(1-oxoallyl)oxy]ethoxy]methyl]-1,3-propanediyl]bis(oxy-2,1-ethanediyl) diacrylate","(2-Ethyl-2-((2-((1-oxoallyl)oxy)ethoxy)methyl)-1,3-propanediyl)bis(oxy-2,1-ethanediyl) diacrylate",75577-70-7,NS00019845,Name,NA,CAS_RN: 75577-70-7,DTXSID00858841,C21H32O9
(2-Ethylphenyl)urea,(2-Ethylphenyl)urea,114-32-9,NS00023710,Name,NA,CAS_RN: 114-32-9,DTXSID70150627,C9H12N2O1
(2-hydroxy-3-sulphopropyl)dimethyl[3-[(1-oxododecyl)amino]propyl]ammonium hydroxide,(2-hydroxy-3-sulphopropyl)dimethyl[3-[(1-oxododecyl)amino]propyl]ammonium hydroxide,19223-55-3,NS00078210,Name,NA,CAS_RN: 19223-55-3,NA,NA
(2-Hydroxyethyl) hydrogen adipate,(2-Hydroxyethyl) hydrogen adipate,94109-19-0,NS00040063,Name,NA,CAS_RN: 94109-19-0,DTXSID60240607,C8H14O5
"(2-Iodophenyl)[2-(methylsulfanyl)-5,6-dihydro-1(4H)-pyrimidinyl]methanone","(2-Iodophenyl)[2-(methylsulfanyl)-5,6-dihydro-1(4H)-pyrimidinyl]methanone",NA,NS00018564,Name,NA,NA,NA,C12H13I1N2O1S1
(2-Isopropoxymethylethoxy)propanol,(2-Isopropoxymethylethoxy)propanol,94247-68-4,NS00019927,Name,NA,CAS_RN: 94247-68-4,DTXSID10241265,C9H20O3
(2-Mercaptoethyl)cyclohexanethiol,(2-Mercaptoethyl)cyclohexanethiol,28351-14-6,NS00028470,Name,NA,CAS_RN: 28351-14-6,DTXSID40182596,C8H16S2
(2-Methoxyethoxy)methylcyclooctane,(2-Methoxyethoxy)methylcyclooctane,85136-36-3,NS00038793,Name,NA,CAS_RN: 85136-36-3,DTXSID90234271,C12H24O2
(2-Methoxyphenoxy)acetic acid,(2-Methoxyphenoxy)acetic acid,1878-85-9,NS00021790,Name,NA,CAS_RN: 1878-85-9,DTXSID5075153,C9H10O4
(2-Methoxyphenyl)acetonitrile,(2-Methoxyphenyl)acetonitrile,7035-03-2,NS00037048,Name,NA,CAS_RN: 7035-03-2,DTXSID40220629,C9H9N1O1
(2-Methyl-1-propenyl)benzene,(2-Methyl-1-propenyl)benzene,768-49-0,NS00037850,Name,NA,CAS_RN: 768-49-0,DTXSID0061111,C10H12
(2-Methylphenoxy)acetic acid,(2-Methylphenoxy)acetic acid,1878-49-5,NS00020759,Name,NA,CAS_RN: 1878-49-5,DTXSID9041441,C9H10O3
(2-Methylphenyl)thiourea,(2-Methylphenyl)thiourea,614-78-8,NS00021250,Name,NA,CAS_RN: 614-78-8,DTXSID6060634,C8H10N2S1
(2-Nitrophenoxy)acetic acid,(2-Nitrophenoxy)acetic acid,1878-87-1,NS00026145,Name,NA,CAS_RN: 1878-87-1,DTXSID0075154,C8H7N1O5
N-(2-Nitrophenyl)phosphoric triamide,(2-Nitrophenyl)-phosphoric triamide,874819-71-3,NS00022857,Name_ChemSpider,NA,CAS_RN: 874819-71-3,DTXSID40470389,C6H9N4O3P1
(2-Nitrophenyl)acetonitrile,(2-Nitrophenyl)acetonitrile,610-66-2,NS00034550,Name,NA,CAS_RN: 610-66-2,DTXSID7025768,C8H6N2O2
"[({[(5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-Heptadecafluoro-2-methyldodecan-2-yl)oxy]carbonyl}oxy)imino](phenyl)acetonitrile",(2-Perfluorooctylethyl)isopropoxycarbonyloxyiminophenylacetonitrile,350716-42-6,NS00018967,Synonyms_ChemSpider,0,CAS_RN: 350716-42-6,DTXSID00698325,C22H15F17N2O3
(2-Phenyl-oxazol-4-yl)-methanol,"(2-Phenyl-1,3-oxazol-4-yl)methanol",59398-98-0,NS00004564,Synonyms_ChemSpider,0,CAS_RN: 59398-98-0,DTXSID50574044,C10H9N1O2
(2-Propenyl) 2-Octynoate.,(2-Propenyl) 2-Octynoate,NA,NA,NA,NA,NA,NA,NA
"(2,2-bis((3,7-Dimethyl-6-octenyl)oxy)ethyl) benzene.","(2,2-bis((3,7-Dimethyl-6-octenyl)oxy)ethyl) benzene",NA,NA,NA,NA,NA,NA,NA
"(2,2-Bis(1-methylethoxy)ethyl)benzene","(2,2-Bis(1-methylethoxy)ethyl)benzene",93805-71-1,NS00039647,Name,NA,CAS_RN: 93805-71-1,DTXSID10239708,C14H22O2
"(2,2-Bis(hexyloxy)ethyl)benzene","(2,2-Bis(hexyloxy)ethyl)benzene",93981-54-5,NS00039846,Name,NA,CAS_RN: 93981-54-5,DTXSID50240090,C20H34O2
"(2,2-Bis(hydroxymethyl)butyl) hydrogen adipate","(2,2-Bis(hydroxymethyl)butyl) hydrogen adipate",20563-11-5,NS00026684,Name,NA,CAS_RN: 20563-11-5,DTXSID70174565,C12H22O6
"(2,2-Bis(nonyloxy)ethyl)benzene","(2,2-Bis(nonyloxy)ethyl)benzene",93981-53-4,NS00039845,Name,NA,CAS_RN: 93981-53-4,DTXSID40240089,C26H46O2
"(2,2-Diethoxyethyl)benzene.","(2,2-Diethoxyethyl)benzene",6314-97-2,NS00013129,Name,NA,CAS_RN:  6314-97-2,DTXSID2052314,C12H18O2
"(2,2-Dimethoxyethoxy)cyclohexane","(2,2-Dimethoxyethoxy)cyclohexane",85168-89-4,NS00038824,Name,NA,CAS_RN: 85168-89-4,DTXSID60234324,C10H20O3
"(2,3,4-Trimethoxyphenyl)acetic acid","(2,3,4-Trimethoxyphenyl)acetic acid",22480-91-7,NS00027195,Name,NA,CAS_RN: 22480-91-7,DTXSID10177010,C11H14O5
"(2,4-Diaminophenoxy)acetic acid","(2,4-Diaminophenoxy)acetic acid",84540-48-7,NS00038543,Name,NA,CAS_RN: 84540-48-7,DTXSID10233529,C8H10N2O3
"(2,4-Diaminopteridin-6-yl)methanol monohydrochloride","(2,4-Diaminopteridin-6-yl)methanol monohydrochloride",73978-41-3,NS00002227,Name,NA,CAS_RN: 73978-41-3,NA,C7H8N6O1
"(2,4-diaminopyrimidin-5-yl) (3,4,5-trimethoxyphenyl)methanone","(2,4-diaminopyrimidin-5-yl) (3,4,5-trimethoxyphenyl)methanone",30806-86-1,NS00040755,Name,NA,CAS_RN: 30806-86-1,NA,C14H16N4O4
"(2,4,6-Trimethylbenzoyl)bis(o-tolyl)phosphine oxide","(2,4,6-Trimethylbenzoyl)bis(o-tolyl)phosphine oxide",84455-37-8,NS00038514,Name,NA,CAS_RN: 84455-37-8,DTXSID40233431,C24H25O2P1
"(2,4,6-Trimethylphenyl)acetic acid","(2,4,6-Trimethylphenyl)acetic acid",4408-60-0,NS00031389,Name,NA,CAS_RN: 4408-60-0,DTXSID40196032,C11H14O2
"(2,4,6-Trioxo-1,3,5-triazine-1,3,5(2H,4H,6H)-triyl)tri-2,1-ethanediyl methacrylate","(2,4,6-Trioxo-1,3,5-triazine-1,3,5(2H,4H,6H)-triyl)tri-2,1-ethanediyl methacrylate",35838-12-1,NS00029925,Name,NA,CAS_RN: 35838-12-1,DTXSID3067946,C21H27N3O9
"(2,4,6-trioxotriazine-1,3,5(2H,4H,6H)-triyl)tris(hexamethylene) isocyanate","(2,4,6-trioxotriazine-1,3,5(2H,4H,6H)-triyl)tris(hexamethylene) isocyanate",3779-63-3,NS00107079,Name,NA,CAS_RN: 3779-63-3,NA,C24H36N6O6
"(2,5-Dimethyl-3-furyl){4-[5-(trifluoromethyl)-2-pyridinyl]piperazino}methanone","(2,5-Dimethyl-3-furyl){4-[5-(trifluoromethyl)-2-pyridinyl]piperazino}methanone",NA,NS00016801,Name,NA,NA,NA,C17H18F3N3O2
"(2,6-Difluorophenyl){4,4-dimethyl-5-methylidene-2-[(3,4,5-trimethylphenyl)imino]-1,3-thiazolan-3-yl}methanone","(2,6-Difluorophenyl){4,4-dimethyl-5-methylidene-2-[(3,4,5-trimethylphenyl)imino]-1,3-thiazolan-3-yl}methanone",NA,NS00017189,Name,NA,NA,NA,C22H22F2N2O1S1
"(20beta)-3,11-Dioxoolean-12-en-29-oic acid","(20beta)-3,11-Dioxoolean-12-en-29-oic acid",7020-50-0,NS00037019,Name,NA,CAS_RN: 7020-50-0,DTXSID70220470,C30H44O4
"(20R)-5alpha-Pregnane-3alpha,17,20-triol","(20R)-5alpha-Pregnane-3alpha,17,20-triol",13933-75-0,NS00024503,Name,NA,CAS_RN: 13933-75-0,DTXSID70161011,C21H36O3
"(2a,4aa,8b)-Hexahydro-1,1,5,5-tetramethyl-2H-2,4a-methanonaphthalen-8(5H)-one.","(2a,4aa,8b)-Hexahydro-1,1,5,5-tetramethyl-2H-2,4a-methanonaphthalen-8(5H)-one",NA,NA,NA,NA,NA,NA,NA
"(2b,3a,5a,16b,17b)-17-acetoxy-3-hydroxy-2-(4-morpholinyl)-16-(1-pyrrolidinyl)androstane(9CI)","(2b,3a,5a,16b,17b)-17-acetoxy-3-hydroxy-2-(4-morpholinyl)-16-(1-pyrrolidinyl)androstane(9CI)",119302-24-8,NS00001345,Name,NA,CAS_RN: 119302-24-8,NA,C29H48N2O4
"(2b,3a,5a,16b,17b)-2-(morpholin-4-yl)-16-(pyrrolidin-1-yl)androstane-3,17-diol","(2b,3a,5a,16b,17b)-2-(morpholin-4-yl)-16-(pyrrolidin-1-yl)androstane-3,17-diol",119302-20-4,NS00003915,Name,NA,CAS_RN: 119302-20-4,NA,C27H46N2O3
